Titulo,Autor,Estilo,Entregue a,Dedicatória
A mansão Hollow  ,Agatha Christie,,,
O Silmarillion  ,J.R.R. Tolkien,,,
O detetive Parker  ,Agatha Christie,,,
Assassinato no expresso oriente  ,Agatha Christie,,,
Treze a mesa  ,Agatha Christie,,,
A morte da Sra. Mcginty  ,Agatha Christie  ,,,
Dom Casmurro  ,Machado de Assis,,,
Quincas Borba ,Machado de Assis 2,,,
A chave da sciencia  ,Henrique de Parville,Curiosidades,,
Doin  livro dos primeiros socorros,,Curiosidades,,
Juracy Cançado,,Curiosidades,,x
Indicador telefônico de Pernambuco de 1942  The Telephone Company of Pernambuco Ltd. ,,Curiosidades,,
501 Desastres mais devastadores de todos os tempos  ,Lafonte ,Curiosidades,,
501 Eventos que merecem ser conhecidos  ,Lafonte ,Curiosidades,,
Por dentro da Gestapo  ,Rupert Butler ,Curiosidades,,
O que as mulheres conversam no banheiro  ,Rosângela Ojuara,Curiosidades,,
O fim do Brasil  ,Felipe Miranda,Curiosidades,,x
Homens são de Marte Mulheres são de Vênus  08,John Gray, pH.D,Curiosidades,,
Guia politicamente incorreto da história do Brasil  ,Leandro Narloch,Curiosidades,,x
Guia politicamente incorreto da América Latina  ,Leandro Narloch e Duda Teixeira,Curiosidades,,x
Guia politicamente incorreto da economia brasileira  ,Leandro Narloch,Curiosidades,,x
Os novos vingadores  O cerco  Brian Michael Bendis  ,Brian Hitch,Curiosidades,,x
Mundo de vingadores ,Hickmann Opena Kubert,Curiosidades,,x
História bem humorada de Pernambuco ,Graça Ataíde,Pernambucanidade ,,
Pernambucanide  ,Nilo Pereira,Pernambucanidade ,,
Maurício de Nassau feitos e farsas,Everaldo Moreira Veras,Pernambucanidade ,,
Tabocas e Casa forte    ,Everaldo Moreira Veras,Pernambucanidade ,,
Dom Casmurro ,Machado de Assis,Literatura brasileira,,
Quincas Borba,Machado de Assis,Literatura brasileira,,
Helena ,Machado de Assis,Literatura brasileira,,
Picasso  grandes mestres,,Artes,,
Michelangelo  grandes mestres 2,,Artes,,
Filosofando  introdução a filosofia ,Maria L de A Aranha,  Maria H P Martins,Filosofia,,
Iniciação a história da filosofia  dos préSocráticos a Wittgenstein ,Danilo Marcondes ,Filosofia,,
Introdução a filosofia , B. Mondin,Filosofia,,
A história do mundo para quem tem pressa  ,Emma Marriot,História,,
E foi assim que a cobra fumou , Elza Cansanção,História,,
História Geral , Florival Cáceres,História,,
História do mundo para leigos , Peter Haugen,História,,
A história da primeira guerra mundial  19141918  IV Volumes:  A deflagração  ,David Stevenson,História,,
A história da primeira guerra mundial  19141918  IV Volumes: A escalada,David Stevenson,História,,
A história da primeira guerra mundial  19141918  IV Volumes: As consequências,David Stevenson,História,,
A história da primeira guerra mundial  19141918  IV Volumes: O legado,David Stevenson,História,,
Segunda guerra mundial  ,Dimas da Cruz Oliveira.,História,,
Stalingrado   A resistência heróica que destruiu o sonho de Hitler dominar o mundo,Rupert Matthews,História,,
O quarteto de Alexandria, 1: Justine,Lawrence Durrel ,História,,
O quarteto de Alexandria, 2: Balthazar,Lawrence Durrel ,História,,
O quarteto de Alexandria, 3: Mountolive ,Lawrence Durrel ,História,,
O quarteto de Alexandria, 4: Darrel Clea,Lawrence Durrel ,História,,
Amsterdã seu guia passo a passo,,Guias de turismo,,
Argentina,,Guias de turismo,,
Arte e história de Praga,,Guias de turismo,,
El convento de Strahov  Praga,,Guias de turismo,,
Caribbean,,Guias de turismo,,
Coimbra patrimônio da humanidade,,Guias de turismo,,
Espanha,,Guias de turismo,,
Istambul,,Guias de turismo,,
Istambul com mapa destacável,,Guias de turismo,,
Itália,,Guias de turismo,,
Londres,,Guias de turismo,,
Madri,,Guias de turismo,,
501 Ilhas imperdíveis,,Guias de turismo,,
New Zeland,,Guias de turismo,,
The Philippines ,,Guias de turismo,,
Viajar é ótimo, e melhor pela Europa  ,Oscar Coutinho  ,Guias de turismo,,
Sul da África,,Guias de turismo,,
Portugal,,Guias de turismo,,
Colômbia,,Guias de turismo,,
Marrocos,,Guias de turismo,,
Peru,,Guias de turismo,,
Nova York,,Guias de turismo,,
Guia de viagem de Nova York,,Guias de turismo,,
Orlando 2018,,Guias de turismo,,
Descubra os Estados Unidos,,Guias de turismo,,
Descubra a Califórnia,,Guias de turismo,,
Descubra Londres,,Guias de turismo,,
Descubra Paris,,Guias de turismo,,
Guia de viagem de Veneza ,,Guias de turismo,,
Guia de conversação e turco 30,,Guias de turismo,,
A filosofia de o símbolo perdido,Thomas R. Beyer,Religiosos,,
A necessidade da oração  ,Edward M. Bounds,Religiosos,,
A guerra santa  ,John Bunyan,Religiosos,,
Atlas bíblico , Yohanan Aharoni, Michael Aviyonah, Anson F. Rainey,,Religiosos,,
Ze'Ev Safrai,,Religiosos,,
Confissão de fé batista de 1689,,Religiosos,,
Cristianismo puro e simples  ,C.S.Lewis,Religiosos,,
Escatologia  ,Millard J. Ericson,Religiosos,,
Em busca de Deus  ,John Piper,Religiosos,,
Israel em abril  ,Érico Veríssimo,Religiosos,,
Israel e seus vizinhos  ,Alexandre Lissovsky,Religiosos,,
O obstinado amor de Deus  ,Brennan Manning,Religiosos,,
Realidades de Israel,,Religiosos,,
Seu nome é Jesus  ,Max Lucado,Religiosos,,
Nas garras da graça  ,Max Lucado,Religiosos,,
Homens comuns com potencial extraordinário  ,T.D. Jakes,Religiosos,,
Não desanime  Jesus está no controle ,Hernandes Dias Lopes,Religiosos,,
Romanos introdução e comentário ,F.F. Bruce,Religiosos,,
Uma nova vida, e agora? ,Charles Brock ,Religiosos,,x
As cinco linguagens do perdão  ,Gary Chapman, Jennifer M. Thomas,Religiosos,,
O namoro e noivado que Deus sempre quis  ,Alexandre Mendes & David Merkh,Religiosos,,
Orando em família ,,Religiosos,,
O peso da gloria  ,C.S. Lewis ,Religiosos,,
Reflexões cristãs ,C.S. Lewis ,Religiosos,,
Vida discipular  ,Avert T. Willis, JR.,Religiosos,,x
Passo a passo pelo Antigo Testamento , Wailon Bailey & Tom Hudson ,Religiosos,,
Capacitação cristã Introdução á Bíblia,,Religiosos,,
Teologia sistemática, histórica e filosófica  ,Alister E. McGrath ,Religiosos,,
Médico de homens e almas a história de são Lucas,Taylor Caldwell,Religiosos,,
Garra  o poder da paixão e da perseverança ,Angela Duckwort ,Religiosos,,
Batalhas na Bíblia 1.400 a.C  73 d.C ,Martin J. Dougherty, Michael E. Haskew e Rob S. Rice,Religiosos,,
Cristãos secretos: o que acontece quando um muçulmano se converte, Irmão André e Al Janssen ,Religiosos,,
Uma história de perdão e cura  ,Stormie  ,Religiosos,,
Cristão contagiante  ,Bill Hibels, Mark Mittelberg,Religiosos,,
Bíblia de estudo plenitude,,Religiosos,,
Bíblia da escola bíblica  ,Sociedade Bíblica do Brasil ,Religiosos,,
Bíblia com ajudas adicionais,,Religiosos,,
Bíblia batismo  04/06/2.000,,Religiosos,,
New American Standard Bible,,Religiosos,,
Bíblia  03/11/1995,,Religiosos,,
O novo testamento ilustrado 20/09/1992  Tia Márcia,,Religiosos,,
Hinário para o culto cristão ,,Religiosos,,
Uma vida com propósitos  ,Rick Warren ,Religiosos,,
Multiplique  ,Francis Chan,Religiosos,,x
A razão da minha esperança  ,Billy Graham ,Religiosos,,
Gloriosas ruínas :  o caminho bíblico para a restauração,Sérgio Queiroz ,Religiosos,,
Segueme  vivendo seus valores cristãos  ,Ralph W. Neighbour, JR.,Religiosos,,
As mensagens nas Epístolas aos Coríntios 1 e 2  24/04/2011 ,Israel Belo de Azevedo,Religiosos,,x
Sinais de esperança  ,Alejandro Bullón,Religiosos,,
Sigame  ,David Platt,Religiosos,,
Simplifique  ,Bill Hibels ,Religiosos,,
Lutando contra a incredulidade  ,John Piper,Religiosos,,
Canção da liberdade  ,Helen Berhane & Emma Newrick ,Religiosos,,
I,II e III João  ,John R. W. Stott ,Religiosos,,
Viva com esperança  ,Mark Finley, Peter Landless ,Religiosos,,
Um mês para viver , Kerry & Chris Shook ,Religiosos,,
Deus e a cabana  ,Roger E. Olson,Religiosos,,
A grande esperança  ,Ellen G. White,Religiosos,,
O grande conflito ,Ellen G. White,Religiosos,,
O contrabandista de Deus , Irmão André e John e Elizabeth Sherrill ,Religiosos,,
Tempo com Deus,,Religiosos,,
Presente diário,Convenção Batista de Pernambuco,Religiosos,,
A cidade antiga   ,Fustel de Coulanges,Religiosos,,
Você vai sair dessa  ,Max Lucado ,Religiosos,,
Os mistérios da maçonaria, William Morgan,Religiosos,,
Dicionário de português Portugal,,Dicionário/Gramática ,,
Schifaizfavoire  ,Mário Prata,Dicionário/Gramática ,,
Pernambuquês , Bertrando Bernardino,Dicionário/Gramática ,,
Linux  guia prático,Carlos E. Morimoto,Informática:,,x
Academia pernambucana de Letras Fátima Quintas,,Achados ,,x
A queda de Gondolin  2, J.R.R. Tolkien,Achados ,,
Anuário de franquias 2017/2018 mais de 1.000 franquias,,Investimentos,,x
Boas maneiras sucesso nos negócios ,Célia Ribeiro*,Investimentos,,
Como ficar rico comprando imóveis em leilões  ,Leonardo Schulmann,Investimentos,,x
Uma breve história da riqueza  ,William J. Bernstein,Investimentos,,x
Aprenda a investir em bolsa de valores ,Valmique Alves Figueiredo,Investimentos,,x
Bemvindo à bolsa de valores   ,Marcelo C. Piazza,Investimentos,,x
Sobreviva na bolsa de valores  ,Bastter Maurício Hissa,Investimentos,,x
Investindo em opções ,Bastter Maurício Hissa,Investimentos,,x
Literatura ,,,,
A arte da guerra  ,Maquiavel,Literatura ,,x
A carta roubada  ,Edgar Allan Poe,Literatura ,,x
A cidade Antiga  ,Fustel de Coulanges,Literatura ,,x
A dama das camélias  ,Alexandre Dumas,Literatura ,,
A ilha do tesouro  2,Robert Louis Stevenson,Literatura ,,
A utopia  ,Thomas More,Literatura ,,x
Amor de perdição  ,Camilo Castelo Branco,Literatura ,,
As pupilas do senhor reitor  2,Júlio Dinis,Literatura ,,
Auto da barca do inferno ,Gil Vicente,Literatura ,,x
"As viagens ""Il Milione"" 2,Marco Polo,Literatura ,,"
Auto da compadecida  ,Ariano Suassuna,Literatura ,,
Biblioteca de ouro da literatura universal  ,Franz Kafka,Literatura ,,x
Cordel  ,Oliveira de Panelas,Literatura ,,
Divina comédia  ,Dante Alighieri,Literatura ,,
Dom Casmurro  2,Machado de Assis ,Literatura ,,
EU  2,Augusto dos Anjos,Literatura ,,
Hamlet  ,William Shakespeare,Literatura ,,x
Helena  2,Machado de Assis,Literatura ,,
Iracema/cinco minutos   2,José de Alencar ,Literatura ,,
Lucíola  r 2,José de Alenca,Literatura ,,
Memórias das casas dos mortos  ,Dostoiévski,Literatura ,,x
Motim na Baía dos ossos  s 2,Mark Burgess,Literatura ,,
Moby Dick  ,Herman Melville,Literatura ,,x
O sol é para todos  ,Harper Lee,Literatura ,,x
Noite na taverna   2,Álvares de Azevedo,Literatura ,,
Macbeth , William Shakespeare,Literatura ,,x
O pequeno príncipe    2,Antoine de SaintExupéry,Literatura ,,
O caso dos exploradores de cavernas ,Lon L. Fuller,Literatura ,,x
O contrato social  ,Jean Jaques Rousseau,Literatura ,,x
O mágico de OZ   2,L. Frank Baum,Literatura ,,
Os três mosqueteiros  ,Alexandre Dumas,Literatura ,,
Política ,Aristóteles,Literatura ,,
Quincas Borba  ,Machado de Assis ,Literatura ,,
Sexo na cabeça  ,Veríssimo ,Literatura ,,
Kama Sutra  ,Vatsyayana,Literatura ,,
Robinson Crusoé  ,Daniel Defoe ,Literatura ,,
Noites brancasi2,Fiódor Dostoiévsk,Literatura ,,
Vinte mil léguas submarinas  2 ,Júlio Verne ,Literatura ,,
A desobediência civil   2,Henry David Tboreau,Direito,,x
Arbitragem Comercial Internacional  2,Irineu Strenger,Direito,,
A Era dos direitos  2,Norberto Bobbio ,Direito,,
A faculdade de direito do Recife    1927 / 1977 2,Nilo Pereira,Direito,,
Nilo Pereira prefácio de Gilberto Freire 2,,Direito,,
A faculdade sitiada  2,Ana Maria Cesar,Direito,,
A luta pelo direito  2,Rudolf Born Ihering,Direito,,
Batalhas Medievais  .,Kelly Devries,Direito,,
Constituition of the federative republic of Brazil  1988. 2,,Direito,,
Correções ao individualismo jurídico  2,Luiz Delgado,Direito,,
Curso de direito internacional público  2,Celso D. De Albuquerque Mello,Direito,,
Curso de direito privado da navegação  direito marítimo Vol. I 2,J. C. Sampaio de Lacerda.,Direito,,
Dicionário de brocardos jurídicos ,Dirceu A. Victor Rodrigues. 2,Direito,,
Direito Civil parte geral ,Carlos Alberto Gonçalves,Direito,,
Direito Civil questões comentadas  CESPE,,Direito,,
Direito internacional privado  parte geral ,Jacob Dolinger,Direito,,
Dos delitos e das penas ,Beccaria,Direito,,x
Elementos de teoria geral ,Dalmo de Abreu Dallari.,Direito,,
Instituições do direito Civil  Volume I,Caio Mário da Silva Pereira ,Direito,,
Instituições do direito Civil  Volume II,Caio Mário da Silva Pereira ,Direito,,
Instituições do direito Civil  Volume III,Caio Mário da Silva Pereira ,Direito,,
Instituições do direito Civil  Volume IV,Caio Mário da Silva Pereira ,Direito,,
Instituições do direito Civil  Volume VI,Caio Mário da Silva Pereira ,Direito,,
Introdução ao estudo do direito  ,Jacy de Souza Mendonça.,Direito,,
Introdução ao estudo do direito  ,Tércio Sampaio,Direito,,
Legislação tributária do Recife  .,Oswaldo Morais Filho,Direito,,
Lições preliminares de direito  ,Miguel Reale.,Direito,,
Novo código de processo Civil  ESA  Lei n° 13.105.,,Direito,,
O advogado   2,Henry Robert.,Direito,,x
Revista Acadêmica da Faculdade de Direito do Recife anno 1892.,,Direito,,
Resumo de direito Civil ,Maximilianus Cláudio Américo Führer,Direito,,
Temas de direitos difusos   2,Gustavo Henrique Araujo de Melo e Silva e outros/Coordenação do prof. Leônio José Alves da Silva,Direito,,x
Teoria da norma jurídica  2,Tércio Sampaio Ferraz Jr,Direito,,
Teoria geral das normas 2,Hans Kelsen,Direito,,x
Vigiar e punir 2,Michel Foucault,Direito,,
Revista Acadêmica  LXXIII 1986.,,Direito,,
De onde se pode ver o invisível,Inaldo Tenório de M. Cavalcanti:,Livros de amigos,,
Antologia poetas da Capunga,Inaldo Tenório de M. Cavalcanti:,Livros de amigos,,
Guardados,Inaldo Tenório de M. Cavalcanti:,Livros de amigos,,
Paisagem da janela,Inaldo Tenório de M. Cavalcanti:,Livros de amigos,,
O colecionador de cavalos,Inaldo Tenório de M. Cavalcanti:,Livros de amigos,,
Meu pai e outros contos,Inaldo Tenório de M. Cavalcanti:,Livros de amigos,,
Garimpando pensamentos pelas ruas de minha cidade,Araquém de Melo:,Livros de amigos,,
Um detalhe em H,Fernando Mendonça:,Livros de amigos,,
Antologia Capunga 90 anos  Fernando Mendonça/Leny Amorim,Fernando Mendonça:,Livros de amigos,,
Ange Pitou tome I,,Francês,,
Ange Pitou tome II,,Francês,,
La Tulipe noire  ,Alexandre Dumas,Francês,,
Le Conte de montecristo ,Alexandre Dumas,Francês,,
Carmen  ,Prosper Mérimée,Francês,,
Drácula  ,Bram Stoker,Francês,,
La Bataille ,Claude Farr?re,Francês,,
La chartreuse de Parme  ,Stendhal,Francês,,
La Comtesse de Charny tome I,,Francês,,
La Comtesse de Charny tome II,,Francês,,
La Comtesse de Charny tome III,,Francês,,
La Comtesse de Charny tome IV,,Francês,,
La Comtesse de Charny tome V,,Francês,,
La Comtesse de Charny tome VI,,Francês,,
Le Collier de la Reine tome I,,Francês,,
Le Collier de la Reine tome II,,Francês,,
Le Collier de la Reine tome III,,Francês,,
La Condition Humaine  ,André Malraux,Francês,,
L'Education Sentimental e  ,Gustave Flaubert,Francês,,
Le Père Goriot  ,Honoré de Balzac,Francês,,
Le grand Meaulnes  ,AlainFournier,Francês,,
Les aventures de TinTin Aí pays des soviets ,Hergé,Francês,,
Les aventures de TinTin  TinTin au Congo  ,Hergé,Francês,,
Les aventures de TinTin  L'oreille Cassée  ,Hergé,Francês,,
Les aventures de TinTin  Le Lotus Bleu  ,Hergé,Francês,,
